View,Coment,Like,Subscriber
53189,22,507,2460000
3216,242,215,16000
1040,16,343,2730
36,0,1,4400
26776,126,819,2090000
31957,326,584,852000
13573,58,282,35200
25425,709,2700,64600
14493,44,246,28900
10928,1,52,136000
5250,30,252,61000
581,10,45,3220
23495,82,569,5380
12284,79,257,42000
103684,840,6900,472000
32703,191,1300,67900
18080,160,951,135000
14176,81,353,112000
32070,37,660,235000
34788,821,1900,56500
403,5,18,3220
21,9,3,170
45434,386,3100,170000
12449,252,1100,71700
7174,120,1300,294000
1258,36,89,3400000
3223,97,261,21100
52792,1058,6200,505000
46,2,5,37
4232,167,428,9520
21596,4,616,185000
17289,116,1300,255000
56855,586,2400,978000
5935,41,64,263000
3809,24,48,10200
6520,275,786,981000
34152,267,1000,107000
16527,137,618,117000
1356,87,63,13600
252542,276,8700,276000
370,35,57,5890
41694,282,1900,209000
501,12,13,46400
1503,46,167,60900
305107,4070,31000,3540000
14227,58,305,41900
1218,55,173,432000
17043,237,1000,46100
666,22,73,120000
4877,109,138,7180
441,2,3,36300
929,46,36,13600
1168,28,79,30100
8528,112,336,21400
1533723,30257,200000,6240000
49730,919,4900,745000
89086,204,1200,545000
12284,47,243,245000
10409,97,173,84900
269,12,23,19600
9702,79,370,39100
3373,44,45,10600
659,20,61,34100
475,9,56,10300
327879,6085,20000,17000000
185052,727,14000,2280000
680,76,25,3380
21242,339,1100,1240000
2311,82,40,6450
499985,1734,56000,6810000
2703,43,98,62100
2253,13,106,4700
379,21,31,7830
432,14,48,25700
2686,17,38,2220
133,10,12,80100
541,27,37,3850
105690,8694,10000,1550000
19,0,1,8330
13785,2,99,136000
9365,119,920,170000
206822,1470,10000,5810000
41131,128,4500,77600
760,36,42,1340
17126,209,1300,491000
1202,2,12,1230
421,1,4,50400
5146,87,444,114000
4262,41,47,59900
3009,4,33,10900
27671,55,1500,119000
256,7,8,2370
450,11,13,3710
68,0,1,115000
212,18,18,1910
64564,825,3000,229000
109,5,15,1910
170,5,4,3370
615,11,26,2960
199,3,6,3710
253,7,6,1310
124,13,9,1450
35,0,2,116
82,0,1,430
17557,4,1100,41000
